id,neighborhood,room_type,minimum_nights,number_of_reviews,availability_365,latitude,longitude,price
100000,Brooklyn,Private room,5,137,293,40.52278,-74.055855,318
100001,Queens,Entire home/apt,16,73,98,40.872919,-73.94245,346
100002,Brooklyn,Private room,5,118,170,40.888272,-73.918136,57
100003,Staten Island,Shared room,15,79,167,40.507018,-74.085891,133
100004,Queens,Private room,3,54,237,40.572121,-74.168394,189
100005,Bronx,Private room,7,98,14,40.895086,-74.030432,254
100006,Staten Island,Entire home/apt,2,136,227,40.87437,-73.937498,264
100007,Manhattan,Entire home/apt,15,140,258,40.879069,-73.85892,228
100008,Brooklyn,Entire home/apt,24,62,254,40.734788,-74.025221,268
100009,Bronx,Private room,24,61,64,40.528095,-73.909448,50
100010,Bronx,Entire home/apt,29,156,288,40.810553,-73.794639,125
100011,Staten Island,Private room,19,38,213,40.742218,-74.104711,149
100012,Staten Island,Entire home/apt,10,9,4,40.777652,-73.766098,329
100013,Brooklyn,Shared room,19,173,174,40.53088,-74.02368,380
100014,Bronx,Shared room,4,82,149,40.853847,-74.217901,247
100015,Queens,Private room,13,82,18,40.798177,-73.876488,291
100016,Brooklyn,Private room,4,4,192,40.698644,-73.971824,207
100017,Manhattan,Private room,18,180,37,40.631163,-73.782332,357
100018,Brooklyn,Entire home/apt,29,48,322,40.619869,-73.916626,377
100019,Bronx,Entire home/apt,1,170,222,40.506907,-74.051043,389
100020,Brooklyn,Private room,4,171,264,40.634133,-74.017951,115
100021,Brooklyn,Shared room,24,62,169,40.860348,-73.914244,80
100022,Manhattan,Shared room,10,200,52,40.575123,-73.773163,267
100023,Queens,Shared room,20,7,238,40.524724,-73.816133,264
100024,Bronx,Private room,30,136,334,40.846916,-74.139373,74
100025,Staten Island,Entire home/apt,27,26,239,40.56598,-74.06438,280
100026,Bronx,Entire home/apt,17,5,84,40.547106,-73.923435,243
100027,Bronx,Entire home/apt,16,170,192,40.831049,-74.172207,315
100028,Manhattan,Entire home/apt,27,15,101,40.842629,-74.126704,354
100029,Queens,Private room,6,156,56,40.893373,-73.828738,301
100030,Brooklyn,Shared room,20,119,348,40.638911,-74.023746,397
100031,Queens,Entire home/apt,10,148,339,40.730605,-74.035214,50
100032,Manhattan,Shared room,19,115,176,40.835873,-73.746851,389
100033,Bronx,Entire home/apt,29,103,182,40.766565,-74.06835,265
100034,Staten Island,Private room,7,156,182,40.591181,-74.104226,389
100035,Manhattan,Private room,30,35,155,40.810591,-73.83254,352
100036,Manhattan,Private room,22,117,52,40.803403,-73.805982,235
100037,Bronx,Private room,22,127,345,40.694322,-74.046028,102
100038,Staten Island,Entire home/apt,14,33,166,40.833231,-74.20271,119
100039,Bronx,Entire home/apt,4,44,223,40.794215,-73.828313,316
100040,Staten Island,Private room,28,150,37,40.85972,-74.200289,231
100041,Manhattan,Private room,7,62,186,40.647208,-74.116094,353
100042,Manhattan,Shared room,24,31,68,40.795175,-74.189173,157
100043,Bronx,Entire home/apt,3,125,104,40.501702,-73.76341,155
100044,Staten Island,Entire home/apt,28,130,356,40.827046,-74.008631,53
100045,Manhattan,Shared room,10,90,271,40.520403,-74.027456,118
100046,Queens,Private room,30,37,126,40.662705,-74.071545,300
100047,Queens,Private room,6,85,282,40.539288,-73.75157,124
100048,Manhattan,Shared room,16,90,76,40.74647,-74.019943,262
100049,Staten Island,Private room,15,142,95,40.542181,-73.915993,372
100050,Staten Island,Shared room,27,50,53,40.809412,-73.846914,258
100051,Brooklyn,Shared room,9,189,291,40.701468,-73.943204,310
100052,Bronx,Shared room,28,105,230,40.783264,-73.822931,352
100053,Brooklyn,Private room,24,49,208,40.618188,-74.123353,142
100054,Staten Island,Shared room,14,182,295,40.627456,-74.132202,194
100055,Queens,Entire home/apt,16,117,23,40.726389,-73.811524,204
100056,Manhattan,Shared room,15,37,99,40.602914,-73.731058,124
100057,Bronx,Entire home/apt,27,150,66,40.754357,-74.187366,364
100058,Bronx,Private room,12,123,334,40.811458,-74.161546,370
100059,Staten Island,Entire home/apt,25,160,188,40.777716,-74.205604,152
100060,Staten Island,Shared room,21,162,177,40.630744,-73.78925,375
100061,Manhattan,Entire home/apt,17,67,253,40.708583,-73.758744,392
100062,Manhattan,Entire home/apt,29,53,226,40.79955,-74.141508,152
100063,Brooklyn,Entire home/apt,29,19,103,40.722281,-73.881182,379
100064,Manhattan,Entire home/apt,18,102,252,40.503231,-74.185354,121
100065,Manhattan,Entire home/apt,13,7,181,40.659981,-74.08926,242
100066,Queens,Private room,21,98,200,40.653031,-74.071052,385
100067,Manhattan,Private room,19,126,314,40.586395,-74.204194,389
100068,Manhattan,Shared room,30,104,293,40.747986,-73.736337,132
100069,Queens,Entire home/apt,2,127,330,40.688552,-73.795938,294
100070,Staten Island,Private room,15,27,293,40.809781,-73.852881,92
100071,Bronx,Shared room,9,44,254,40.808586,-73.839163,104
100072,Brooklyn,Entire home/apt,29,121,330,40.549444,-73.878991,89
100073,Brooklyn,Private room,3,180,199,40.732144,-73.956468,204
100074,Manhattan,Entire home/apt,16,84,134,40.692657,-73.766249,297
100075,Brooklyn,Entire home/apt,11,49,285,40.554206,-74.171831,283
100076,Queens,Private room,7,97,272,40.549567,-73.861101,270
100077,Brooklyn,Shared room,7,164,223,40.664328,-73.707745,104
100078,Manhattan,Entire home/apt,29,57,151,40.665247,-74.120236,312
100079,Queens,Entire home/apt,15,186,320,40.673721,-74.075359,174
100080,Brooklyn,Private room,22,180,275,40.690363,-73.969701,78
100081,Bronx,Shared room,30,41,30,40.732267,-74.050246,60
100082,Queens,Shared room,9,150,51,40.88774,-74.208342,343
100083,Manhattan,Private room,3,140,58,40.727703,-74.021166,308
100084,Bronx,Entire home/apt,26,72,288,40.534059,-73.983615,81
100085,Manhattan,Entire home/apt,16,38,77,40.782917,-74.082151,262
100086,Manhattan,Entire home/apt,29,80,313,40.768073,-74.148504,121
100087,Bronx,Private room,13,84,216,40.759269,-74.215881,284
100088,Manhattan,Shared room,22,26,102,40.507631,-74.146818,279
100089,Bronx,Private room,14,54,351,40.56493,-74.195491,149
100090,Bronx,Entire home/apt,24,136,291,40.720305,-73.973226,136
100091,Queens,Private room,12,8,310,40.80895,-74.121918,336
100092,Queens,Shared room,10,36,362,40.678634,-73.744338,239
100093,Staten Island,Shared room,1,97,31,40.727032,-74.203177,233
100094,Brooklyn,Entire home/apt,14,61,268,40.613218,-73.811238,394
100095,Staten Island,Private room,24,89,45,40.734624,-74.138116,79
100096,Bronx,Shared room,16,23,29,40.696959,-74.147785,310
100097,Manhattan,Shared room,27,70,182,40.528786,-73.752125,362
100098,Manhattan,Private room,12,77,319,40.569816,-74.125979,286
100099,Queens,Entire home/apt,30,150,106,40.881312,-73.778337,163
100100,Queens,Entire home/apt,11,80,327,40.637286,-74.246502,273
100101,Staten Island,Private room,13,93,235,40.646467,-73.839608,159
100102,Staten Island,Shared room,21,27,337,40.554695,-74.234149,107
100103,Manhattan,Shared room,9,200,355,40.695859,-73.861008,207
100104,Bronx,Entire home/apt,4,93,240,40.692802,-74.224512,215
100105,Bronx,Shared room,1,95,95,40.798328,-73.884714,107
100106,Brooklyn,Shared room,28,195,49,40.526357,-73.805604,327
100107,Staten Island,Private room,7,88,114,40.887303,-73.76793,296
100108,Staten Island,Private room,20,18,314,40.54462,-74.057988,122
100109,Staten Island,Shared room,13,106,277,40.552459,-73.861053,76
100110,Manhattan,Private room,8,179,136,40.700877,-73.871136,263
100111,Staten Island,Shared room,18,17,361,40.533612,-73.77555,239
100112,Manhattan,Entire home/apt,21,90,78,40.814124,-74.211646,58
100113,Brooklyn,Shared room,22,63,307,40.781097,-74.200758,379
100114,Queens,Private room,28,179,8,40.638073,-73.977587,307
100115,Staten Island,Shared room,16,86,235,40.756129,-73.939395,114
100116,Staten Island,Private room,7,121,350,40.718705,-73.805252,393
100117,Bronx,Private room,1,20,20,40.849772,-74.003545,254
100118,Brooklyn,Entire home/apt,13,43,188,40.602616,-74.22774,162
100119,Staten Island,Private room,19,161,317,40.690274,-73.79224,144
100120,Staten Island,Shared room,11,106,165,40.581828,-73.861132,352
100121,Manhattan,Shared room,30,9,228,40.528442,-74.223106,260
100122,Staten Island,Entire home/apt,26,11,185,40.635046,-74.001402,349
100123,Manhattan,Private room,5,34,342,40.520836,-74.106565,313
100124,Staten Island,Private room,27,107,311,40.710317,-73.778371,298
100125,Queens,Private room,8,128,19,40.787887,-74.126077,45
100126,Manhattan,Entire home/apt,6,88,277,40.77277,-73.975321,359
100127,Manhattan,Private room,29,89,27,40.792234,-74.110112,278
100128,Staten Island,Entire home/apt,4,30,94,40.700054,-73.726494,161
100129,Brooklyn,Shared room,11,105,187,40.521344,-74.000137,156
100130,Bronx,Private room,12,108,225,40.759568,-73.951319,236
100131,Bronx,Shared room,26,20,69,40.799545,-73.95652,71
100132,Queens,Shared room,28,79,84,40.855643,-73.734411,305
100133,Bronx,Shared room,3,112,16,40.806876,-73.752727,237
100134,Queens,Shared room,25,14,121,40.679322,-74.014392,193
100135,Queens,Shared room,9,73,275,40.857593,-73.927072,390
